"id","area_mean","linear_mean"
"1_lower_A",0.316410076645366,0.227752639517345
"1_lower_DBH",0.131995323921942,0.130781499202551
"10_lower_A",0.202870511603917,0.141339343206697
"10_lower_DBH",0.23347789389791,0.219021739130435
"10_lower_S",0.236222165789812,0.189267015706806
"11_lower_A",0.1865181514144,0.119261477045908
"11_lower_DBH",0.20370076915546,0.178163265306123
"11_lower_S",0.0644237736200988,0.0985887096774191
"12_lower_A",0.36489660589087,0.275833333333333
"12_lower_DBH",0.29810844083192,0.239302325581395
"12_lower_S",0.321189497227437,0.242448979591837
"13_lower_A",0.0980605798318123,0.0881481481481481
"13_lower_DBH",0.135963905325444,0.081153846153846
"13_lower_S",0.118430502786227,0.0867647058823532
"14_lower_A",0.240797751798562,0.156666666666667
"14_lower_DBH",0.215413760828973,0.189457831325302
"14_lower_S",0.11783558792924,0.0951612903225805
"15_lower_A",0.320594838927412,0.202653631284916
"15_lower_DBH",0.0991811775701843,0.109224598930481
"15_lower_S",0.178393625016813,0.169338422391857
"16_lower_A",0.138121768969815,0.100118203309692
"16_lower_C",0.218542526726693,0.263129102844639
"16_lower_D",0.120507352552088,0.160412757973733
"16_lower_DBH",0.0865219408314013,0.138514680483593
"17_lower_A",0.158987285744997,0.135172413793104
"17_lower_DBH",0.153800378071833,0.123901098901099
"17_lower_S",0.157283357598686,0.198076923076923
"18_lower_A",0.20959862264556,0.267101449275363
"18_lower_DBH",0.164194137309014,0.162127659574468
"18_lower_S",0.306039447994251,0.236344969199178
"19_lower_A",0.0704904088402456,0.0863175675675678
"19_lower_DBH",0.277181502034714,0.223766233766234
"19_lower_S",0.24300312960587,0.223852040816327
"2_lower_A",0.186143351086554,0.144186046511628
"2_lower_DBH",0.100272117372979,0.0952631578947369
"2_lower_S",0.147790271156856,0.154898648648649
"2_upper_A",0.133686566461652,0.0724274406332454
"2_upper_DBH",0.0535740877669394,0.090049751243781
"2_upper_S",0.0886109776116143,0.063189448441247
"3_lower_A",0.329667299446534,0.239175257731959
"3_lower_DBH",0.193918543570046,0.189649122807018
"3_lower_S",0.404897981853584,0.347262773722627
"3_upper_A",0.141422247558214,0.0792424242424242
"3_upper_DBH",0.0850023551703305,0.046875
"3_upper_S",0.0942344614254612,0.0975260416666666
"4_lower_A",0.137463643303709,0.138142292490119
"4_lower_DBH",0.196798460632194,0.205166666666666
"4_lower_S",0.236100096194531,0.201010101010101
"4_upper_A",0.131823018202289,0.150684931506849
"4_upper_DBH",0.210381861949188,0.224793388429752
"5_lower_A",0.417696501121845,0.332231404958678
"5_lower_DBH",0.239044888888889,0.197666666666666
"5_lower_S",0.269482279970812,0.243529411764706
"5_upper_DBH",0.204272996169924,0.206424581005586
"5_upper_S",0.13592904681872,0.136648501362398
"6_lower_A",0.175058048729696,0.161479591836735
"6_lower_DBH",0.0772012619403968,0.1056
"6_lower_S",0.194230432396873,0.14875
"6_upper_A",0.147038514706088,0.12165991902834
"6_upper_DBH",0.105476324610879,0.0835069444444446
"6_upper_S",0.114961322673032,0.0881443298969072
"7_lower_A",0.198049582786326,0.163048780487805
"7_lower_DBH",0.186308240982471,0.123813868613139
"8_lower_A",0.215533388476519,0.115636363636364
"8_lower_DBH",0.157716358024691,0.0825
"8_lower_S",0.17741244126294,0.14469964664311
"9_lower_A",0.347293033354174,0.247619047619048
"9_lower_DBH",0.262904223065636,0.272962962962963
"9_lower_S",0.184364798440986,0.198986486486487
"A_A",0.255648768852798,0.154140127388535
"A_DBH",0.218399285754704,0.200280898876404
"A_S",0.361382464869108,0.279541446208113
"B_A",0.323497817393285,0.200847457627119
"B_DBH",0.266760661723027,0.22516339869281
"B_S",0.291438010674249,0.262960436562073
"Cor1_lower_A",0.371093900852128,0.246330275229358
"Cor1_lower_DBH",0.26516580050768,0.186496350364963
"Cor1_lower_S",0.246232599300666,0.215714285714286
"Cor1_upper_A",0.138506163430198,0.146014492753623
"Cor1_upper_DBH",0.254953590729104,0.228395061728395
"Cor1_upper_S",0.0786781310714949,0.0753048780487805
"Cor2_upper_DBH",0.0929859375,0.051875
"Extra2_lower_A",0.300023803464999,0.34841628959276
"Extra2_lower_DBH",0.199530453263813,0.152954545454545
"Extra2_lower_S",0.235683135126268,0.151452282157676
"Extra3_lower_A",0.137901513730663,0.133484162895928
"Extra3_lower_DBH",0.155266615482022,0.151744186046511
"Extra3_lower_S",0.189032923201322,0.160882352941177
"Extra7_lower_A",0.253675848857181,0.186111111111111
"Extra7_lower_DBH",0.351752135392448,0.29375
"Extra7_lower_S",0.350163290402935,0.24005376344086
"Extra8_lower_DBH",0.133300493426544,0.0906976744186049
"Golden1_upper_DBH",0.063650901789236,0.086826347305389
"Golden1_upper_S",0.081581660485764,0.130167597765363
"Loph1_lower_DBH",0.204635892543983,0.135887096774194
"Loph1_lower_S",0.190066458910831,0.12759336099585
"Loph2_upper_A",0.230244135802469,0.179722222222222
"Loph2_upper_DBH",0.120778670360111,0.070263157894737
"Loph2_upper_S",0.241399748324108,0.161139896373057
"LophX_upper_DBH",0.1920438957476,0.129347826086956
"Planch1_lower_A",0.207205960175832,0.0999999999999999
"Planch1_lower_DBH",0.29162399460683,0.1875
"Planch1_lower_S",0.127500883701752,0.146176470588235
"Planch2_lower_A",0.050896395884769,0.026829268292683
"Planch2_lower_DBH",0.0559240321402485,0.0297297297297297
"Planch2_lower_S",0.209484966692862,0.1925
"Planch3_lower_DBH",0.422524385122394,0.299545454545455
"Planch4_lower_DBH",0.191379857294418,0.0935643564356436
"Planch6_lower_DBH",0.234448442906574,0.18764705882353
"Tess1_lower_DBH",0.0551408163265305,0.0292857142857143
"Test_A",0.192750644570157,0.155
"Test_DBH",0.358433234775622,0.387727272727272
"Test_S",0.263945799219271,0.2198
"Tetra1_lower_DBH",0.413554338181854,0.330434782608696
